Key,Desc,Default,French
Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,,Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,Joint à charnière de porte comme la connexion. Peut même avoir des moteurs. cliquez droit sur l'objet et cliquez sur jointé commun pour afficher le nouveau menu.
Joints,,Joints,Les articulations
Joker,,Joker,Joker
Jokers,,Jokers,Jokers
Joypad Emulation,,Joypad Emulation,Émulation de la manette
Keyboard,,Keyboard,Clavier
Keyboard Single Digit Draw,,Keyboard Single Digit Draw,Keyboard Single Digit Draw
Kickstarter,,Kickstarter,Kickstarter
King,,King,Roi
King Cast Iron,,King Cast Iron,Roi Fonte
King Chrome,,King Chrome,roi Chrome
King Dark,,King Dark,roi noir
King Light,,King Light,roi Lumière
King Supporters,,King Supporters,Supporters roi
Knight,,Knight,Chevalier
Knight Cast Iron,,Knight Cast Iron,Chevalier en fonte
Knight Chrome,,Knight Chrome,chevalier Chrome
Knight Dark,,Knight Dark,Dark knight
Knight Light,,Knight Light,chevalier Lumière
Knight Supporters,,Knight Supporters,Les partisans chevalier
Kobold,,Kobold,Kobold
LAN,,LAN,LAN
LANGUAGE_BROWSE_TOOLTIP,,Find community translation mods on the Workshop.,Trouvez des mods de traduction communautaire sur l'atelier.
LANGUAGE_EXPORT_TOOLTIP,,Export current translation as a .csv file so that you can mod and upload it to the Workshop.,Exporter la traduction actuelle en tant que fichier .csv afin que vous puissiez mod et le télécharger à l'atelier.
LANGUAGE_HELP,,Change your language to the provided translations or create and use community created translations.,Changer votre langue pour les traductions fournies ou créer et communauté des utilisateurs a créé les traductions.
LANGUAGE_UPLOAD_TOOLTIP,,Upload the currently loaded translation to the Workshop.,Téléchargez la traduction actuellement chargé de l'atelier.
LATEST DLC NOW AVAILABLE!,,Latest DLC Now Available!,Dernières DLC maintenant disponible!
LEFT_THEN_DOWN,,Left / Down,En bas à gauche
LEFT_THEN_UP,,Left / Up,Laissée
LIFO,,LIFO,LIFO
LIGHTING,,Lighting,Éclairage
LUT,,LUT,LUT
LUT Contribution,,LUT Contribution,Contribution LUT
Label,,Label,Étiquette
Language,,Language,Langue
Language Code,,EN,FR
Laser Activation Threshold,,Laser Activation Threshold,Seuil d'activation laser
Laser Always On,,Laser Always On,Laser Toujours
Laser Angled,,Laser Angled,laser Angled
Laser Beam Opacity,,Laser Beam Opacity,Laser Beam Opacité
Laser Beam Thickness,,Laser Beam Thickness,Faisceau laser Épaisseur
Laser Beam Visible,,Laser Beam Visible,Faisceau laser visible
Laser Dot Size,,Laser Dot Size,Taille Laser Dot
Last in last out or a reverse queue.,,Last in last out or a reverse queue.,Dernier dans la dernière ou sur une file d'attente inverse.
Layout,,Layout,Disposition
Layout Zone,,Layout Zone,Zone mise en page
Layout Zone Tags,,Layout Zone Tags,Mise en page Zone Mots clés
LayoutZoneAllowSwapping,,"When moving an object from one full group to another, the object you drop on will be moved to the original group.","Lorsque vous déplacez un objet d'un groupe complet à l'autre, l'objet que vous déposez sur sera déplacé vers le groupe d'origine."
LayoutZoneAlternateDirection,,"Objects added to a group will be aligned up or right, different from the preceding object in the group.  Used, for example, in trick-taking games to make counting easier.","Les objets ajoutés à un groupe sont alignées vers le haut ou à droite, différent de l'objet précédent dans le groupe. Utilisé, par exemple, dans les jeux de prise de truc pour faire compter plus facile."
LayoutZoneCardsPerDeck,,Sets the size of decks made by the layout zone when it combines newly added cards.,Définit la taille des plate-formes prises par la zone de mise en page quand il combine les cartes nouvellement ajoutées.
LayoutZoneCombineIntoDecks,,Whether cards added to the zone should be combined into decks.  You may specify the number of cards per deck.,Que ce soit les cartes ajoutées à la zone doivent être combinés en ponts. Vous pouvez spécifier le nombre de cartes par pont.
LayoutZoneComponents,,"Which components will be added to the zone, and how.","Quels composants seront ajoutés à la zone, et comment."
LayoutZoneDirection,,The directions the groups in the zone expand into.  This will determine the origin corner.,Les directions des groupes dans la zone en expansion. Cela permettra de déterminer l'angle d'origine.
LayoutZoneFaceDown,,Face-Down components dropped on zone will be layed out.,composants face vers le bas larguées sur zone sera conçues.
LayoutZoneFaceUp,,Face-Up components dropped on zone will be layed out.,composants face vers le haut larguées sur zone sera conçues.
LayoutZoneFacing,,Determines whether newly added objects are turned face-up or face-down.,Détermine si les objets nouvellement ajoutés sont tournés face vers le haut ou face vers le bas.
LayoutZoneGroupDirection,,The direction the objects within a group will expand into.,La direction des objets au sein d'un groupe se développer dans.
LayoutZoneGroupObjects,,"When new objects are added to a zone, they will be gathered into groups of this many objects.","Lorsque de nouveaux objets sont ajoutés à une zone, ils seront rassemblés en groupes de ce grand nombre d'objets."
LayoutZoneHorizontalPadding,,How much horizontal space is inserted between groups.,Quelle quantité d'espace horizontal est inséré entre les groupes.
LayoutZoneHorizontalSpread,,How far each object in a group is moved horizontally from the previous object.,Dans quelle mesure chaque objet dans un groupe est déplacé horizontalement à partir de l'objet précédent.
LayoutZoneManualTooltip,,The zone will not automatically lay out objects: it must be triggered manually.,La zone ne sera pas automatiquement les objets poser: il doit être déclenché manuellement.
LayoutZoneMaxGroupObjects,,Each group in the zone may not contain more than this number of objects.,Chaque groupe dans la zone ne peut pas contenir plus de ce nombre d'objets.
LayoutZoneNonCards,,Non-card components dropped on zone will be layed out.,Les composants non carte larguées sur zone seront conçues.
LayoutZonePadding,,How much space is inserted between groups layed out in the zone.,Combien d'espace est inséré entre les groupes dans la pondus zone.
LayoutZoneRandomizeTooltip,,Objects will be randomized whenever they are layed out.,Les objets seront répartis de façon aléatoire chaque fois qu'ils sont conçues.
LayoutZoneSort,,How groups are sorted internally.,Comment les groupes sont classés en interne.
LayoutZoneSortExisting,,"When enabled all groups will be sorted when layed out, rather than only newly added groups.","Lorsqu'elle est activée tous les groupes seront triés en layed dehors, plutôt que seuls les groupes nouvellement ajoutés."
LayoutZoneSplitTooltip,,Decks added to the zone will be split into their individual cards.,Les ponts ajoutés à la zone seront divisés en leurs cartes individuelles.
LayoutZoneSpread,,How far apart objects within a group are spread.,Dans quelle mesure les objets à part au sein d'un groupe sont répartis.
LayoutZoneVerticalPadding,,How much vertical space is inserted between groups.,Quelle quantité d'espace vertical est inséré entre les groupes.
LayoutZoneVerticalSpread,,How far each object in a group is moved vertically from the previous object.,Dans quelle mesure chaque objet dans un groupe est déplacé verticalement de l'objet précédent.
"Lead, Code, Design",,"Lead, Code, Design","Direction, Code, Design"
Learn the basics in this short tutorial.,,Learn the basics in this short tutorial.,Apprenez les bases dans ce court tutoriel.
Left,,Left,Gauche
Left Pad Down,,Left Pad Down,Gauche Pad Bas
Left Tool Hotkeys,,Left Tool Hotkeys,Outil gauche Hotkeys
Let Game Set Theme,,Let Game Set Theme,Laisser le jeu faire le thème
Let's get a better look!,,Let's get a better look!,Voyons voir de plus près !
Lets players choose which color to pass their turn to.,,Lets players choose which color to pass their turn to.,Permet aux joueurs de choisir de passer leur tour.
Lift Height,,Lift Height,Hauteur de levage
Light,,Light,Lumière
Light Color,,Light Color,Couleur de la lumière
Light Intensity,,Light Intensity,Intensité lumineuse
Like this!,,Like this!,Comme ça!
Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,,Limits FPS to monitor refresh rate (Hz) to eliminate screen tearing. FPS drops with vsync on will introduce stuttering and will increase input lag.,Limite les IPS à la fréquence de rafraîchissement (Hz) pour empêcher une coupure de l'écran. Cela occasionnera une baisse des IPS et une augmentation du lag.
Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,,Limits FPS to monitor refresh rate (Hz) to reduce system usage. Great for laptops.,Limite les IPS à la fréquence de rafraîchissement (Hz) pour réduire l'utilisation du système. Idéal pour les ordinateurs portables.
Line,,Line,Ligne
Line Thickness,,Line Thickness,Épaisseur de ligne
Line Tool,,Line Tool,Outil de mesure
Lines,,Lines,Lignes
Liquorish,,Liquorish,Liquorish
Living Dead,,Living Dead,Mort vivant
Lizard Warrior,,Lizard Warrior,Lizard Guerrier
Lizards,,Lizards,lézards
Load,,Load,Charger
Load Camera,,Load Camera,Charger Caméra
Load Camera View,,Load Camera View,Charg. une caméra
Loaded,,Loaded,Chargé
Loading,,Loading,Chargement
Loading...,,Loading...,Chargement...
Local,,Local,Local
Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,,Local: Gizmos are in selected object's rotation. Global: Gizmos are in global rotation.,Local: Gizmos sont dans la rotation de l'objet sélectionné. Mondiale: Gizmos sont en rotation globale.
Lock,,Lock,Verrouiller
Lock the X and Y size together.,,Lock the X and Y size together.,Verrouillez la taille X et Y ensemble.
Locked,,Locked,Verrouillé(e)
Locking,,Locking,Verrouillage
Log,,Log,Journal
Logging,,Logging,Enregistrement
Long press on an object to bring it up.,,Long press on an object to bring it up.,Appui long sur un objet pour le mettre en place.
Look Speed,,Look Speed,Vitesse de la caméra
Looking For Players,,Looking For Players,Recherche de joueurs
Looping Effect,,Looping Effect,Looping effet
Low,,Low,Basse
Low Complexity,,Low Complexity,Faible complexité
Lower-Multi-Grab,,Lower/Multi-Grab,Lower/Multi-Grab
Lua scripts automatically execute on load.,,Lua scripts automatically execute on load.,Les scripts Lua s'executent automatiquement au chargement.
Lut Name,,Lut Name,Lut Nom
MODEL,,MODEL,MODÈLE
MODIFIERS,,Modifiers,Modificateurs
MORE,,More,Plus
MSAA,,MSAA,MSAA
Mage,,Mage,Mage
Magnify,,Magnify,Loupe
Mahjong,,Mahjong,Mahjong
Main,,Main,Principale
Main Menu,,Main Menu,Menu principal
Main Menu Volume,,Main Menu Volume,Volume du menu principal
Manticora,,Manticora,manticora
Manual Only,,Manual Only,Manuel Uniquement
Map,,Map,Carte
Marbles,,Marbles,Billes
Mass,,Mass,Masse
Master Volume,,Master Volume,Master Volume
Matching Custom Object Query,,Matching Custom Object Query,Matching Custom Object Query
Material,,Material,Matériel
Mature Games,,Mature Games,Jeux d'âge mûr
Max,,Max,Max
Max Distance,,Max Distance,Max Distance
Max Objects Per Group,,Max. Objects Per Group,Max. Objets Par groupe
Max Players,,Max Players,Maximum de joueurs
Max Players (2-8),,Max Players (2-8),Joueurs Max (2-8)
Measure Arrows Angle,,Measure Arrows Angle,Angle de mesure
Measure Font Size,,Measure Font Size,Taille de la police en mesurant
Measure Movement,,Measure Movement,Mesurer Mouvement
Measure tool will automatically be used when moving this object.,,Measure tool will automatically be used when moving this object.,Outil de mesure sera automatiquement utilisé lors du déplacement de cet objet.
Medium,,Medium,Moyenne
Medium Complexity,,Medium Complexity,Complexité Moyenne
Memory Games,,Memory Games,Jeux de mémoire
Menu,,Menu,Menu
Merge Distance,,Merge Distance,Distance de fusion
